# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-04-21 06:30:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/5iltbdvk.json
# init = 2 (Default)
# random
#   seed = 55229
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250421013040_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.237273
# Diagonal elements of inverse mass matrix:
# 1.12728e-05, 1.0543e-05, 0.000121531, 0.000113293, 0.000101983, 0.000104053, 0.000126251, 0.000109768, 9.03026e-05, 0.00012666, 0.000110233, 0.000116142, 0.000118242, 0.000149564, 0.000113026, 0.000121433, 0.000132286, 0.000120928, 0.000126578, 0.000116504, 0.000116597, 0.000125915, 0.000188187, 0.000131152, 0.000171963, 0.00016098, 0.000164301, 0.000184032, 0.000154917, 0.000164583, 0.00017574, 0.000158679, 0.000128435, 0.000122121, 0.000107694, 0.000125997, 0.000131899, 0.000144863, 0.00010865, 0.000119376, 0.00016012, 0.000118821, 0.000101532, 8.73094e-05, 0.000110172, 0.000112378, 0.000104114, 0.000112756, 0.000122477, 0.000123908, 0.000110689, 9.40953e-05, 0.0001488, 0.000109805, 0.000112896, 0.000125407, 0.000155717, 0.000158285, 0.000139214, 0.000141515, 0.000152009, 0.000134991, 0.000101631, 9.39467e-05, 0.000104158, 0.000109242, 9.96579e-05, 0.000125556, 0.000119836, 0.000115736, 0.000103948, 0.000121174, 0.000151548, 0.000134233, 0.000173483, 0.000156588, 0.00017544, 0.000148001, 0.000151121, 0.000169889, 0.000183785, 0.000152308, 0.000135901, 0.000110441, 0.000112391, 0.000109314, 0.000142956, 0.000147439, 0.000128459, 0.000131278, 0.000136347, 0.000145315, 0.000312731, 0.000113609, 0.000167413, 0.000157666, 0.000371118, 0.000360842, 0.000272408, 0.000399379, 0.000526882, 0.000356467, 0.0987269, 0.137601, 0.110549, 0.0983367, 0.0788915, 0.0908859, 0.0918231, 0.095164, 0.0825527, 0.0767827, 0.000254133, 0.0967
-355720,0.907583,0.237273,4,15,0,355770,-0.00808342,0.997178,-0.0140924,-0.0419058,0.0714151,-0.019277,-0.00396655,0.0859216,0.0214778,-0.0210087,-0.0427886,-0.0463211,-0.0458549,-0.0139338,-0.0166376,-0.0301051,-0.0155133,-0.0236671,-0.0184448,0.00627399,-0.0398527,-0.0708202,-0.0942589,-0.0404051,-0.0825216,-0.0403139,-0.032281,-0.0276713,-0.0581681,-0.0110814,-0.0346479,-0.0564611,0.0532847,0.00669533,-0.0283265,-0.051787,0.00505447,-0.0269693,-0.0010515,0.0339457,-0.0869651,-0.00721024,-0.0442365,-0.0534719,-0.0382844,0.0449668,-0.104227,-0.0375031,-0.0613509,-0.0444781,-0.139528,0.033233,0.0133306,-0.0236685,-0.077882,0.0261565,0.0781558,0.115434,0.0709331,0.0798297,0.0208828,0.0464519,0.094137,0.024262,0.0161085,-0.0183306,0.0581998,0.11392,0.00182084,0.0675126,0.0111635,-0.0440646,-0.0262157,0.0665102,0.0299716,0.076604,0.0408898,0.0461344,0.0490764,0.0108963,0.192146,-0.0116791,0.111662,-0.0163635,-0.0148452,0.103738,0.0637817,0.0482767,0.0189043,0.0408249,-0.0657727,0.080016,-0.0256922,-0.0228556,-0.0562095,0.0118539,-0.0332445,-0.0233573,0.0441303,0.00159351,0.0461649,-0.00477433,0.0478732,0.0182657,0.0198622,0.047221,0.0772521,0.0659788,0.0605589,0.0452037,0.076871,0.0671273,0.00021224,0.0315487,-337352,0.996998
-355715,0.887531,0.237273,4,15,0,355767,-0.00626759,0.996907,-0.0163635,-0.0343876,0.0592668,0.00215225,0.00260488,0.08715,0.0208998,-0.0172958,-0.0269931,-0.0327742,-0.0511048,-0.00829897,-0.0194454,-0.015996,-0.00987174,-0.0242107,-0.0290556,-0.0106377,-0.051159,-0.075388,-0.097537,-0.0562808,-0.0887401,-0.0385589,-0.0198624,-0.0498544,-0.0561532,-0.0122859,-0.0501973,-0.0381799,0.0444155,0.00819067,-0.0251968,-0.0517487,0.0134518,-0.0270943,0.00612208,0.0373495,-0.0895356,-0.000434662,-0.0334014,-0.0462186,-0.0268556,0.0403381,-0.103971,-0.0381308,-0.0579001,-0.0497783,-0.143169,0.0347866,0.0174065,-0.0244948,-0.0593229,0.0120318,0.0754091,0.110173,0.0564654,0.0804178,0.023849,0.042571,0.0987491,0.0240439,0.0167087,-0.01756,0.0336661,0.106799,0.00498769,0.0634142,0.00766342,-0.0543358,-0.00898387,0.0407865,0.0500092,0.063058,0.0395898,0.0400131,0.0461716,0.0127248,0.190142,-0.010719,0.105643,-0.0167208,-0.00975023,0.111616,0.0618234,0.0465075,0.0362555,0.0319763,-0.0757607,0.0970071,-0.0030935,-0.0339381,-0.0636581,-0.00151945,-0.0277539,-0.0345672,0.0241579,-0.0052798,0.038095,-0.00823049,0.0464702,0.0166353,0.020646,0.0571448,0.0499487,0.0614151,0.0438509,0.0512551,0.0592107,0.0820641,0.0117505,0.049399,-337308,0.996818
-355721,0.747161,0.237273,4,15,0,355779,-0.0105139,0.997728,-0.0104923,-0.0409251,0.0628301,0.00621213,-0.0152861,0.0813759,0.0092978,-0.0102956,-0.0442913,-0.0378333,-0.0565428,-0.0212686,-0.0166027,-0.0106554,-0.018769,-0.0249319,-0.0200362,-0.00873436,-0.046423,-0.074238,-0.0919277,-0.0570217,-0.0933543,-0.0381958,-0.0316419,-0.0525262,-0.0601058,-0.013057,-0.0468821,-0.0244385,0.0430799,0.0149666,-0.0188555,-0.0562301,0.0196623,-0.0210109,0.0170044,0.0377781,-0.0877233,-0.0156031,-0.0338597,-0.0470341,-0.0367831,0.0548738,-0.106606,-0.0389135,-0.0657262,-0.0377863,-0.145223,0.0508965,0.0191433,-0.0245342,-0.0576145,0.0163895,0.0834852,0.115942,0.0451385,0.0811457,0.0191536,0.0339295,0.101622,0.0277749,0.0116753,-0.0097285,0.0283824,0.107376,0.0225975,0.056954,0.0217325,-0.0514107,-0.00617747,0.0624188,0.0578965,0.0524192,0.0423612,0.0429971,0.0391859,0.0136535,0.17587,-0.00436115,0.0971863,-0.000772047,-0.0104372,0.0956327,0.0654984,0.0377538,0.0206678,0.0331629,-0.0761664,0.0961209,0.0211008,-0.0240811,-0.0599113,0.00560501,-0.034588,-0.0409451,0.0413607,0.0169821,0.0347335,-0.00366449,0.0513248,0.0135958,0.0220455,0.0448167,0.0384329,0.055736,0.0456121,0.0534895,0.042306,0.102634,-0.00851891,0.042116,-337323,0.996879
-355722,0.891349,0.237273,4,15,0,355786,-0.00618102,0.997331,-0.017383,-0.0357404,0.0805738,-0.04985,0.00387247,0.0453132,0.0485062,-0.0347823,-0.0345338,-0.0306162,-0.0738177,-0.0107082,-0.0222027,-0.0299756,0.00707922,-0.0360184,-0.00469708,0.00975706,-0.0523599,-0.0608544,-0.120996,-0.0494614,-0.0939978,-0.02382,-0.0509465,0.00390276,-0.0460533,-0.00505384,-0.0436777,-0.0531816,0.0397636,0.013764,-0.00652195,-0.0354683,0.0130436,-0.0402866,-0.00265321,0.0282066,-0.103319,0.00683738,-0.0057856,-0.0488826,-0.0572825,0.0171346,-0.115496,-0.0548453,-0.0514356,-0.0730601,-0.119734,0.0171756,0.0058625,-0.0149744,-0.0815401,0.0110314,0.0762666,0.119999,0.0646361,0.0715899,0.0111779,0.0160073,0.0833609,0.0328523,0.0106451,0.0223732,0.0405309,0.115252,-0.00144073,0.0862967,0.0204197,-0.0807839,0.00635363,0.0365703,0.0301674,0.0889117,0.0390558,0.0412367,0.0445762,-0.00973107,0.205117,-0.0150256,0.115791,-0.00922582,-0.0367434,0.0992281,0.0469099,0.0494552,0.0307994,0.0199116,-0.0812902,0.082603,-0.0296542,-0.0397195,-0.0433922,-0.018936,-0.0147418,-0.0270932,0.0568456,0.0232725,0.0463563,0.00806319,0.0631348,0.0377923,0.0448093,0.0297305,0.106911,0.0433585,0.0516455,0.0509848,0.121853,0.0575857,0.0149619,0.038105,-337340,0.996952
-355724,0.842606,0.237273,4,15,0,355791,-0.00578029,0.99655,-0.0200652,-0.041649,0.0862163,-0.0435786,0.00854536,0.0509002,0.0544536,-0.0374291,-0.0339384,-0.033327,-0.0820797,-0.0196181,-0.0259632,-0.0185224,0.00881879,-0.0327511,-0.00321152,0.0190261,-0.0509694,-0.0622508,-0.125062,-0.0417576,-0.0987407,-0.0249606,-0.0462599,-0.00377549,-0.0436213,0.00546377,-0.0440982,-0.0503133,0.0437496,0.00910536,-0.0104023,-0.0417419,0.00480875,-0.0379383,-0.00233077,0.0310676,-0.105163,0.0105473,-0.00503636,-0.0530102,-0.0544597,0.0257371,-0.120327,-0.040553,-0.0552809,-0.0605293,-0.117225,0.0190766,0.00879344,-0.01916,-0.0878,0.00842194,0.0772411,0.120478,0.0634664,0.0600661,0.00468293,0.0156057,0.077052,0.0228551,0.0108445,0.0108356,0.0409538,0.115407,0.00647263,0.0887809,0.0202402,-0.0735783,0.0088258,0.0441536,0.0323731,0.0917412,0.0466355,0.0418249,0.0468779,-0.00256503,0.207011,-0.00844278,0.114259,-0.0117974,-0.0330559,0.0997817,0.0449021,0.0427276,0.0381465,0.0185126,-0.0842438,0.0833533,-0.0146464,-0.0317118,-0.0436497,-0.0211473,0.0262975,-0.0173988,0.0579085,0.0193789,0.051788,0.0244343,0.0529083,0.0357583,0.0287514,0.0266703,0.106413,0.0484171,0.0474768,0.0548039,0.145304,0.0501426,0.0167061,0.0428359,-337326,0.99689
-355725,0.853384,0.237273,4,15,0,355785,-0.00565343,0.998366,-0.012257,-0.0456412,0.0631411,-0.0100432,-0.0032633,0.0743591,0.0211985,-0.0147974,-0.0316985,-0.037409,-0.0582147,-0.00566108,-0.0303507,-0.0020819,-0.011571,-0.0346959,-0.0135221,0.0202518,-0.0337279,-0.0862473,-0.0899052,-0.0679341,-0.0982052,-0.0301295,-0.0379302,-0.0436879,-0.0565041,-0.0208715,-0.052784,-0.0221875,0.0316771,0.0133829,-0.023566,-0.0584313,-0.014939,-0.0293284,0.0110169,0.0428006,-0.084223,-0.00470059,-0.00647025,-0.0456613,-0.053356,0.0519425,-0.105477,-0.0504883,-0.0712795,-0.0459969,-0.141766,0.04344,0.0120389,-0.0166206,-0.0484145,0.0272156,0.069764,0.118857,0.047524,0.0731854,0.0142684,0.019858,0.0882899,0.0418075,0.0320746,0.00341413,0.0178476,0.128163,0.0180716,0.0704974,0.0203375,-0.0578058,-0.0240692,0.0356671,0.0496945,0.0671608,0.0271044,0.0453997,0.0395405,-0.0109404,0.197682,-0.0191962,0.107386,0.00764032,0.00107471,0.0697744,0.0578992,0.0364386,0.00263588,0.0562867,-0.0627204,0.0866527,0.0156378,-0.0106427,-0.0525271,-0.00856283,-0.00179097,-0.0425345,0.0382783,0.0331281,0.0609548,0.0245683,0.0456992,0.0273654,0.0494124,0.0390202,0.068396,0.0569312,0.0315253,0.0607039,0.0466261,0.0607201,0.000538434,0.0383455,-337321,0.996866
