# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2024-09-28 20:47:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/xb783gpc.json
# init = 2 (Default)
# random
#   seed = 68325
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/base/base-20240928154718_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.490935
# Diagonal elements of inverse mass matrix:
# 1.82077e-05, 1.45321e-05
-51482.8,0.96069,0.490935,2,7,0,51483,-0.000157543,0.998588,-145939
-51483.3,0.972595,0.490935,2,3,0,51483.3,0.00013382,0.997751,-145939
-51482.5,0.992073,0.490935,2,7,0,51483.4,-0.00131515,0.999481,-145938
-51482.9,0.870293,0.490935,1,3,0,51483.9,-0.00334539,1.00234,-145939
-51482.8,0.968249,0.490935,2,5,0,51483.5,0.00180555,0.999141,-145939
-51483.6,0.884851,0.490935,2,3,0,51484.6,0.00364755,1.0031,-145939
-51484,0.989874,0.490935,3,7,0,51484.1,0.00435489,1.00319,-145940
-51483.1,1,0.490935,2,3,0,51484.3,0.00332394,0.999651,-145939
-51482.7,0.957651,0.490935,2,7,0,51484.3,-0.000406748,0.998679,-145939
-51482.4,1,0.490935,2,3,0,51482.8,-0.00180893,1.00181,-145938
-51483.4,0.907379,0.490935,2,3,0,51483.5,0.000749243,0.997657,-145939
-51482.5,0.943598,0.490935,2,3,0,51484.1,-0.00174153,1.0021,-145938
-51482.6,0.994307,0.490935,2,7,0,51482.7,-0.00209138,0.999618,-145938
-51483.5,0.951408,0.490935,2,3,0,51483.5,0.00425322,1.00196,-145939
-51483.7,0.984255,0.490935,2,3,0,51483.9,0.00374372,1.00316,-145940
-51486.3,0.78837,0.490935,2,7,0,51487,0.00481185,0.995791,-145942
-51486.2,1,0.490935,3,7,0,51486.4,-0.00572677,1.00587,-145942
-51483.4,0.924976,0.490935,3,7,0,51488.5,0.00302897,1.00305,-145939
-51483.4,0.870537,0.490935,1,1,0,51484.2,0.00302897,1.00305,-145939
-51482.5,0.931896,0.490935,2,3,0,51484.4,0.00156293,1.00014,-145938
-51483.2,0.923975,0.490935,2,3,0,51483.6,0.00362411,1.00172,-145939
-51482.3,0.999569,0.490935,2,7,0,51483.2,-0.000902298,1.00022,-145938
-51482.6,0.970852,0.490935,2,3,0,51482.6,-0.00188097,0.999478,-145938
-51484.7,0.790167,0.490935,2,3,0,51485.2,-0.00297172,0.996367,-145941
-51489.2,0.644205,0.490935,2,3,0,51492.5,-0.0101928,0.996408,-145945
-51482.9,1,0.490935,2,3,0,51489.1,-0.00286086,0.998939,-145939
-51482.9,0.971012,0.490935,2,7,0,51483.8,-0.00309829,1.00258,-145939
-51483.4,0.84886,0.490935,3,7,0,51484.8,0.00426361,1.00123,-145939
-51483.9,0.892426,0.490935,3,7,0,51484.9,0.000399149,0.996863,-145940
-51483.5,0.902131,0.490935,2,3,0,51485.5,-0.000492783,0.997357,-145939
-51484.2,0.976017,0.490935,2,7,0,51484.3,0.00270786,1.00459,-145940
-51482.7,0.988577,0.490935,2,3,0,51484.7,-0.00204827,1.00266,-145939
-51483,0.877809,0.490935,3,7,0,51484.9,0.0033504,1.00011,-145939
-51482.5,0.979099,0.490935,2,7,0,51483.6,0.000438747,0.999323,-145938
-51482.5,0.999838,0.490935,3,7,0,51482.6,0.000376117,0.999293,-145938
-51483,0.845714,0.490935,2,3,0,51484.2,0.00215763,1.00275,-145939
-51482.5,0.98863,0.490935,2,3,0,51483.2,-0.000524202,1.0023,-145938
-51483.5,0.949429,0.490935,2,7,0,51483.6,-0.00508633,0.999948,-145939
-51483.8,0.835149,0.490935,3,7,0,51486.4,-0.00536308,0.999253,-145940
-51484.7,0.86941,0.490935,1,1,0,51484.7,-0.00604906,0.99808,-145941
-51484.1,1,0.490935,1,1,0,51484.7,-0.00564282,0.99887,-145940
-51484.1,0.943675,0.490935,1,1,0,51484.5,-0.00564282,0.99887,-145940
-51483.2,0.99884,0.490935,2,3,0,51484.4,-0.00462498,1.00149,-145939
-51482.6,0.973096,0.490935,3,7,0,51483.9,0.0018924,0.999951,-145938
-51482.8,0.971602,0.490935,2,7,0,51483,0.000744249,1.00301,-145939
-51482.3,0.948491,0.490935,1,3,0,51483.4,-9.98171e-06,1.00008,-145938
-51482.4,0.915419,0.490935,3,7,0,51483.1,0.00119306,1.00025,-145938
-51482.3,0.949367,0.490935,1,3,0,51483.1,-0.00149271,1.00132,-145938
-51482.7,0.956743,0.490935,2,3,0,51482.8,-0.000645168,1.00294,-145939
-51483.1,0.928571,0.490935,3,7,0,51484.7,-0.00274296,0.998615,-145939
-51483.1,0.996394,0.490935,1,1,0,51483.2,-0.0028838,0.998619,-145939
-51482.6,1,0.490935,2,3,0,51483.2,-0.00293246,1.00079,-145938
-51482.4,0.958064,0.490935,2,3,0,51483.1,-0.0019951,1.00156,-145938
-51482.4,0.975905,0.490935,3,7,0,51483,-0.00210519,1.00039,-145938
-51482.4,0.99871,0.490935,2,3,0,51482.5,-0.00185068,1.00101,-145938
-51482.6,0.961446,0.490935,2,3,0,51482.7,-0.0024548,0.999671,-145938
-51482.3,1,0.490935,2,3,0,51482.7,0.000363303,1.00036,-145938
-51483.3,0.92875,0.490935,2,3,0,51483.4,0.00389184,0.999833,-145939
-51483.8,0.941337,0.490935,1,1,0,51483.8,0.00457088,0.999345,-145940
-51485.1,0.871355,0.490935,2,3,0,51485.8,0.00348684,0.996407,-145941
-51482.7,0.983336,0.490935,2,3,0,51485.3,0.00167436,0.999251,-145939
-51483.8,0.938096,0.490935,2,3,0,51484.1,0.00505885,1.00089,-145940
-51483.4,1,0.490935,1,1,0,51483.8,0.00418988,1.00071,-145939
