# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:47:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/5vk7soz6.json
# init = 2 (Default)
# random
#   seed = 44119
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-sems.h-nonsems/hreg-20250511164716_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.311303
# Diagonal elements of inverse mass matrix:
# 3.32934e-05, 2.06828e-05, 0.000147735, 0.000201019, 0.000214651, 0.000184312, 0.000185423, 0.000233692, 0.000228888, 0.000239733, 0.000260066, 0.000290898, 0.000212374, 0.000268085, 0.000298774, 0.000324825, 0.000413555, 0.000379718, 0.000421403, 0.000353006, 0.000520536, 0.000569307, 0.000666155, 0.000162246, 0.000225657, 0.000273141, 0.000206916, 0.00261532, 0.000316429, 0.000286624, 0.000212462, 0.00023338, 0.000221971, 0.000208282, 0.000243254, 0.0002448, 0.00033515, 0.000245376, 0.000236978, 0.000310964, 0.000221386, 0.000227649, 0.000475042, 0.000310718, 0.000351293, 0.000252954, 0.000229825, 0.000207729, 0.000276795, 0.000282352, 0.000316773, 0.000326213, 0.000409785, 0.000499923, 0.000361, 0.00574576, 0.000413645, 0.000599455, 0.000277205, 0.000322263, 0.000253074, 0.000294504, 0.000534476, 0.000419321, 0.00059582, 0.00224652, 0.00121997, 0.000678168, 0.00029794, 0.000828258, 0.00112121, 0.000733118, 0.080952, 0.0783955, 0.0907842, 0.112391, 0.164848, 0.0786199, 0.0913783
-18556.1,0.922055,0.311303,4,15,0,18592,-0.010314,0.966197,0.107525,-0.0241682,0.256105,0.104335,0.316732,0.128434,-0.00589498,0.10107,0.243444,0.138114,-0.0482047,0.0784982,0.0476632,-0.0188865,0.158094,0.0853441,0.146709,0.191081,-0.0380212,-0.0528592,-0.155384,-0.114305,-0.0220796,-0.0392991,-0.0827594,-0.0221586,0.0227541,0.0835355,0.0534903,0.0148066,0.0219848,-0.0105805,0.0143626,0.0415462,-0.0141743,-0.0351151,-0.0132739,0.0806264,0.0100688,-0.0852519,-0.0240663,-0.0204774,-0.100326,-0.0771841,-0.0320213,-0.0026918,0.0259578,-0.0126367,0.00619573,0.0903035,-0.0014274,0.214977,0.007575,0.105745,-0.0373154,-0.0278077,0.0929431,0.0488703,-0.00915814,0.00193745,-0.0378464,-0.131828,-0.0432375,0.208674,0.107865,-0.043337,0.0343876,-0.0331396,0.0716476,-0.00924479,0.129034,0.0876959,0.0625311,0.0415318,0.0741992,0.0750607,0.0545764,-19345.9
-18563.4,0.954012,0.311303,4,15,0,18595.1,-0.0106682,0.972228,0.132772,-0.0501576,0.263326,0.11024,0.335971,0.143517,0.0814193,0.08801,0.230131,0.14786,-0.0461784,0.0767931,0.0127732,-0.0120516,0.162759,0.0709638,0.144219,0.163774,-0.0440477,-0.0435117,-0.0585928,-0.209309,0.0214098,-0.0559009,-0.065302,-0.00695686,-0.00220032,0.0424246,0.0851951,0.0509959,0.013589,0.027104,-0.028558,0.0679174,0.00198063,-0.0293367,-0.0187634,0.0913186,0.0631562,0.071232,0.0569354,0.0109849,-0.0302164,0.0939276,-0.0138973,0.0252517,-0.00139578,-0.0670771,0.00517283,0.0478453,-0.00318006,0.2113,-0.0651764,0.0652839,-0.0385338,-0.0394078,0.0653018,0.110286,-0.094049,-0.0109524,-0.100782,-0.122774,-0.0191396,0.113707,0.118646,-0.0833078,0.0415593,0.0643807,0.0119191,-0.0248696,0.114853,0.104819,0.0656989,0.0559814,0.0562106,0.0938069,0.0586177,-19371.9
-18554,1,0.311303,4,15,0,18596.8,-0.00689964,0.962485,0.114117,-0.0124539,0.219812,0.0804986,0.312957,0.176454,-0.0114152,0.0937573,0.210839,0.148737,-0.0300485,0.107755,0.0257016,-0.0192261,0.168912,0.108465,0.165821,0.197955,-0.0385203,-0.0513274,-0.140778,-0.162282,0.00543698,-0.0310226,-0.102591,-0.0449528,-0.00377355,0.0707469,0.0788737,0.0671073,0.0495417,-0.0138444,0.00693541,0.0409541,0.0184497,-0.0169384,0.00835793,0.0885319,0.0552302,-0.0175717,0.00398409,0.00160642,-0.0453279,0.0571953,-0.0270701,0.0079142,0.0219535,-0.0600047,-0.00559924,0.08341,-0.0281652,0.243131,-0.0133727,0.0708827,-0.0285457,-0.0379683,0.053397,0.0902637,-0.0433636,0.0188405,-0.0659122,-0.078719,-0.0117324,0.107982,0.103794,-0.0386082,0.0249199,0.00762641,0.0376405,-0.0171881,0.205197,0.0855203,0.0648658,0.0275121,0.049201,0.0761174,0.0796754,-19381.2
-18547.3,0.782549,0.311303,4,15,0,18594.5,-0.0137828,0.95981,0.121672,-0.0182166,0.256678,0.0870608,0.327039,0.155688,0.0360979,0.0693854,0.213718,0.154976,-0.0614644,0.101238,0.0246234,-0.016968,0.151827,0.118426,0.163775,0.182842,-0.0321699,-0.0467568,-0.135174,-0.165061,-0.00464867,-0.0504967,-0.0913876,-0.0338873,-0.00228503,0.0476139,0.0968294,0.0645978,0.0475873,-0.0101679,-0.0201722,0.0469825,-0.000387369,-0.0229122,-0.0108557,0.114399,0.0362437,0.0521499,0.0215334,-0.00575847,-0.0782095,-0.029612,-0.00460506,0.0141776,-0.026805,-0.032762,-0.00641911,0.0593455,0.0069014,0.225578,-0.0435578,0.0935879,-0.042914,-0.0335155,0.0957433,0.0653644,-0.0321859,0.0353533,-0.0759479,-0.0837949,-0.0445321,0.151503,0.0583016,-0.0756593,0.0275072,0.00850763,0.0531639,0.00343545,0.11141,0.107884,0.0457251,0.0586499,0.0477482,0.0971407,0.0654636,-19390.5
-18546.4,0.903398,0.311303,4,15,0,18577.7,-0.010312,0.958922,0.118231,-0.0193215,0.2501,0.0978726,0.317453,0.162181,0.0287553,0.0831413,0.208537,0.165213,-0.0527952,0.0840348,0.0313725,-0.010867,0.164444,0.119826,0.151896,0.182978,-0.0250385,-0.0441995,-0.13708,-0.164121,0.000251915,-0.0530767,-0.0716809,-0.0414409,-0.00883537,0.0507687,0.0959784,0.0774728,0.0537493,-0.0141808,-0.0116887,0.0503757,0.0132936,-0.0321728,-0.0172901,0.108534,0.0347271,0.0376569,0.00825082,-0.00794491,-0.0724489,-0.00641106,0.000327093,-0.00241533,-0.0212088,-0.0400681,-0.0026748,0.0561999,-0.000529373,0.219531,-0.0248989,0.0832156,-0.0260249,-0.0430442,0.0923393,0.0608827,-0.0441622,0.0187877,-0.0567152,-0.114195,-0.0678356,0.110864,0.0839422,-0.0847585,0.0342223,0.00250373,0.0506372,-0.00495219,0.112165,0.110864,0.0475379,0.0442001,0.0465448,0.0958106,0.0540731,-19379.9
-18547.9,0.938101,0.311303,4,15,0,18581.6,-0.00934866,0.959605,0.109354,-0.0330602,0.231308,0.106658,0.336259,0.14346,0.0370511,0.086016,0.224069,0.149655,-0.0494599,0.0988704,0.0278542,0.00316212,0.168299,0.107072,0.178736,0.218673,-0.0313363,-0.0780528,-0.134425,-0.155076,-0.0082776,-0.0369055,-0.0817663,0.00224857,0.00150023,0.0563944,0.0881621,0.0670325,0.0477136,0.00850028,-0.015626,0.0520799,-0.00518439,-0.0357041,-0.00830717,0.122775,0.022497,0.00183021,0.0122782,-0.028536,-0.0697803,0.00119554,0.0286152,0.0208882,0.0165422,-0.0744783,0.00022605,0.0509928,0.00592464,0.190788,0.00694897,0.0923572,-0.0460486,-0.0362455,0.101868,0.0654034,-0.0266856,0.0262799,-0.042763,-0.118919,-0.0699937,0.12956,0.110298,-0.0645138,0.0383046,0.00483498,0.0808958,-0.0226683,0.0994442,0.0745639,0.0594564,0.0418679,0.0426632,0.0994798,0.052832,-19395
