# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:32:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/xb7_vlkz.json
# init = 2 (Default)
# random
#   seed = 92747
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/sems.nonsems/multireg-20250511123203_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.621446
# Diagonal elements of inverse mass matrix:
# 3.34291e-05, 3.36598e-05, 3.71297e-05, 2.90805e-05, 3.47651e-05, 3.76911e-05, 3.49827e-05, 3.40923e-05, 2.07319e-05
-19333,0.954056,0.621446,3,7,0,19338.1,-0.0151029,0.153799,0.13101,0.0926193,-0.0220092,-0.0184631,-0.0267425,-0.0697666,0.985118,0.139965,0.125293,0.0892895,-0.0182405,-0.00112167,-0.0177377,-0.0731408,-18712.5
-19332,0.780767,0.621446,2,3,0,19337,-0.0223664,0.153009,0.134518,0.0898196,-0.0289721,-0.0164722,-0.0230056,-0.0729364,0.986868,0.138144,0.12922,0.0860659,-0.0255834,0.00106821,-0.0134625,-0.0764639,-18712.5
-19338.1,0.571751,0.621446,2,3,0,19339.7,-0.0171609,0.152828,0.123805,0.0962583,-0.0226038,-0.017759,-0.0162385,-0.0725086,0.990585,0.139404,0.118596,0.092115,-0.0197158,-0.00120648,-0.00657838,-0.0760154,-18715.6
-19333.9,0.97887,0.621446,3,7,0,19341.5,-0.0202393,0.146923,0.133266,0.0951708,-0.0193781,-0.0105525,-0.0269911,-0.0760981,0.985552,0.131334,0.127412,0.0903102,-0.0157891,0.00825899,-0.0171122,-0.0797785,-18714.3
-19333.6,0.946587,0.621446,3,7,0,19337.4,-0.018792,0.153569,0.13221,0.0866325,-0.0331617,-0.0263142,-0.0230871,-0.0758842,0.979088,0.138568,0.127042,0.083694,-0.0293783,-0.00834565,-0.0131362,-0.0795543,-18714.8
-19335.1,0.878968,0.621446,3,7,0,19338.4,-0.0138501,0.153715,0.127548,0.0859306,-0.0219797,-0.0164954,-0.0340028,-0.0733853,0.979182,0.140343,0.121607,0.082351,-0.0176234,0.00256099,-0.0246841,-0.0769346,-18712.1
-19331.5,1,0.621446,3,7,0,19335.6,-0.022066,0.154021,0.130437,0.0923178,-0.0246667,-0.0199188,-0.0274672,-0.0723361,0.983333,0.13998,0.124666,0.0889984,-0.0207606,-0.00198677,-0.0181239,-0.0758345,-18712.5
-19336.5,0.690361,0.621446,2,7,0,19337.5,-0.0165958,0.159297,0.125663,0.0922041,-0.0205241,-0.0156829,-0.0239651,-0.0850502,0.985905,0.145063,0.120104,0.0867994,-0.0168864,0.00446568,-0.0127624,-0.0891636,-18711.2
-19336.5,0.935362,0.621446,3,7,0,19342.3,-0.0231073,0.141045,0.139809,0.0871616,-0.0319326,-0.0214463,-0.0274461,-0.0674802,0.978525,0.12467,0.134373,0.0847895,-0.0280677,-0.00453525,-0.0187776,-0.0707439,-18720
-19335.7,1,0.621446,3,7,0,19339.9,-0.0227502,0.142893,0.143416,0.0838646,-0.0277825,-0.0189618,-0.0312441,-0.0732267,0.981158,0.125629,0.13791,0.0806461,-0.0235953,-0.000341061,-0.0218755,-0.0767682,-18718.3
-19338.4,0.857678,0.621446,3,7,0,19342.2,-0.0136168,0.145625,0.142563,0.0814193,-0.0313751,-0.0194872,-0.0359572,-0.075364,0.984406,0.128709,0.136817,0.078385,-0.026758,0.000170043,-0.0264142,-0.0790089,-18717.4
-19335.9,1,0.621446,2,3,0,19340.6,-0.0166726,0.147852,0.14082,0.0826536,-0.0304323,-0.0160426,-0.0309464,-0.080374,0.987784,0.130789,0.135353,0.0784869,-0.0262974,0.00405065,-0.0205761,-0.0842612,-18715.4
-19332.3,0.946202,0.621446,2,3,0,19338.2,-0.0181446,0.147956,0.129153,0.0958406,-0.0243941,-0.0157794,-0.0255762,-0.0749818,0.978908,0.133119,0.123319,0.0917451,-0.0207666,0.00252391,-0.0158156,-0.0786082,-18714.2
-19332.2,0.754914,0.621446,3,7,0,19337.1,-0.0164599,0.152112,0.133406,0.0925507,-0.0272071,-0.0151827,-0.0217013,-0.0825042,0.983085,0.136089,0.128044,0.0875323,-0.0238431,0.0041629,-0.0107935,-0.0864944,-18712.5
-19335.8,0.634265,0.621446,2,3,0,19338.7,-0.0166331,0.155433,0.126257,0.0946523,-0.0287965,-0.016224,-0.0287697,-0.0878314,0.982793,0.140428,0.120192,0.0895649,-0.0247333,0.0051039,-0.0173055,-0.0920793,-18712.2
-19332.8,0.97197,0.621446,2,3,0,19338.3,-0.0204279,0.15366,0.139084,0.0894871,-0.0223307,-0.0178206,-0.0228794,-0.0707079,0.985176,0.138335,0.133881,0.085826,-0.0189016,-0.000775821,-0.0136429,-0.0741276,-18712.7
-19332.9,0.988782,0.621446,3,7,0,19334.4,-0.020419,0.150055,0.128004,0.0901765,-0.0288445,-0.0213283,-0.024798,-0.0829903,0.977901,0.134575,0.122489,0.0859108,-0.0249899,-0.00159682,-0.0139034,-0.0870041,-18715.2
