# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 01:25:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/yy8fk3c1.json
# init = 2 (Default)
# random
#   seed = 13343
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-sems.h-nonsems/hreg-20250511202512_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.5.11,beta.6.11,beta.7.11,beta.8.11,beta.9.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.5.12,beta.6.12,beta.7.12,beta.8.12,beta.9.12,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,mu_beta.11,mu_beta.12,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,sigma_beta.11,sigma_beta.12,log_p
# Adaptation terminated
# Step size = 0.202302
# Diagonal elements of inverse mass matrix:
# 3.90541e-05, 2.02501e-05, 0.000124463, 0.000174554, 0.000207858, 0.000238323, 0.000198032, 0.000252122, 0.000323337, 0.000165658, 0.000132625, 0.000131761, 0.0001659, 0.000270471, 0.000179637, 0.000207069, 0.00022734, 0.000277552, 0.000306371, 0.000328836, 0.000471375, 0.000164721, 0.000126125, 0.000177978, 0.000206255, 0.00037325, 0.000404945, 0.000333091, 0.000438662, 0.000306839, 0.000569969, 0.000669053, 0.000809327, 0.000360245, 0.000170269, 0.000250864, 0.00027179, 0.000426685, 0.000194545, 0.000237741, 0.000267988, 0.000247804, 0.00357341, 0.000422031, 0.000537616, 0.000193307, 0.000116313, 0.000192742, 0.000226644, 0.000476673, 0.000283463, 0.0002312, 0.000207396, 0.000183848, 0.000269543, 0.0003232, 0.00045841, 0.0001377, 0.000121228, 0.000195646, 0.000286277, 0.000273233, 0.000207202, 0.0002503, 0.000319962, 0.00022555, 0.000226982, 0.000606346, 0.000407525, 0.000198724, 0.000112023, 0.000176818, 0.000192087, 0.000335987, 0.000438192, 0.000258002, 0.00023296, 0.000201936, 0.000253414, 0.000299912, 0.000387959, 0.0001518, 0.000115724, 0.000181857, 0.000148629, 0.000231982, 0.000258532, 0.000404459, 0.000482027, 0.000341833, 0.0031637, 0.000472072, 0.000707385, 0.000307158, 0.000144945, 0.000242754, 0.000241773, 0.000706387, 0.000368556, 0.000277369, 0.000294443, 0.000274372, 0.000455239, 0.000478402, 0.000713026, 0.0002218, 0.00010544, 0.000240808, 0.000235209, 0.000364504, 0.00213883, 0.00104565, 0.000402705, 0.000384405, 0.000551943, 0.000936266, 0.000861585, 0.000115468, 6.47557e-05, 9.52875e-05, 0.000127506, 0.000446527, 0.0901608, 0.0767797, 0.101638, 0.0991118, 0.150034, 0.0760533, 0.10355, 0.200309, 0.28775, 0.218073, 0.302808, 0.1191
-18173.2,0.994433,0.202302,5,31,0,18243.6,-0.00794495,0.961473,0.0937924,-0.0423772,0.226405,0.10673,0.339435,0.146259,0.0916258,0.0545262,0.26161,0.16407,-0.0327208,0.0941883,0.051403,0.0269956,0.160414,0.11098,0.143836,0.163312,-0.0223084,-0.0636666,-0.137814,-0.149104,-0.021829,-0.0376616,-0.0889271,-0.0372113,-0.00916184,0.0533995,0.0806874,0.110584,0.0327357,-0.0158453,0.0162457,0.0590852,-0.0128617,-0.025875,-0.0346225,0.0699213,0.0468062,-0.0897266,-0.00865516,-0.0372788,-0.0579213,0.0267238,-0.0229944,0.0244694,0.0261897,-0.0314179,0.0318691,0.0867032,-0.0148207,0.249203,0.00147918,0.112896,-0.108484,-0.0687739,-0.00195374,0.0528096,-0.0903166,-0.0818204,-0.114257,-0.136783,-0.138112,0.00450908,-0.00124868,0.0184656,-0.0313879,-0.00999665,0.0304386,0.0032514,-0.0224969,0.0059855,-0.0269386,-0.0250407,-0.0105714,-0.0123032,-0.00558392,-0.0164673,-0.0147801,-0.035191,-0.0206569,-0.0330881,-0.0921105,-0.0533045,-0.0356229,-0.0724878,-0.0173575,-0.0452715,-0.0376233,-0.0214233,-0.0179304,0.0147719,0.0223355,0.0397373,0.0504726,0.00722387,0.0466929,0.0498556,0.0437264,-0.0623686,-0.0451649,-0.0932537,0.00728677,-0.0445744,-0.093993,-0.0818254,-0.0140224,-0.146502,0.183852,0.0816907,-0.0892874,0.0582357,0.0178118,0.067788,-0.0630759,0.00227129,-0.0148621,-0.0434497,0.0330142,-0.0366508,0.137916,0.105464,0.0602994,0.0555266,0.0471169,0.0936666,0.0609868,0.0181373,0.0107061,0.0283948,0.0676638,0.078523,-19582.8
-18173.3,0.981009,0.202302,5,31,0,18238.5,-0.00682788,0.961831,0.111252,0.00815843,0.228186,0.109665,0.356833,0.131165,0.0584397,0.104343,0.249688,0.159152,-0.0655055,0.11693,0.0518419,0.0265504,0.170134,0.125787,0.1566,0.201399,-0.0697608,-0.0470377,-0.0991067,-0.15379,-0.00558218,-0.0468567,-0.0849013,-0.0138258,0.0184778,0.0576584,0.10983,0.0789507,0.0215894,-2.0428e-05,-0.0036185,0.0719629,-0.0266339,-0.0691189,-0.0458903,0.0386758,0.0133205,-0.0263117,0.0231723,-0.0278259,-0.0639831,-0.008093,-0.00825059,0.0443476,0.0504682,-0.0431764,0.0525554,0.096099,0.00490126,0.17782,-0.0348946,0.0338445,-0.041136,-0.0504256,0.0536706,0.0480759,-0.13789,-0.0352624,-0.0768064,-0.104299,-0.099437,0.00572424,-0.0130296,0.0266588,-0.00971008,0.0115232,0.0120999,0.0159386,-0.00530444,0.00382704,-0.0242136,-0.028614,-0.00245541,-0.00632515,0.00184704,-0.0107814,-0.0117262,-0.00981433,-0.00585672,-0.039738,-0.0594528,-0.087442,-0.0239892,-0.0515519,-0.023604,-0.0230907,-0.0325031,-0.0243201,-0.00343432,-0.01277,-0.0128098,0.0231807,0.054417,0.019424,-0.00643109,-0.0106227,-0.0459718,-0.0714998,0.00195588,-0.0291796,-0.00315739,-0.0744289,-0.0820047,-0.0697274,0.00976123,-0.111143,0.222699,0.0712954,-0.012655,0.0317702,0.00664707,0.037658,-0.0255274,-0.00111162,-0.0121987,-0.0396792,0.00822569,-0.0173651,0.120305,0.107924,0.0754232,0.0699927,0.039548,0.0476724,0.0617723,0.0161627,0.0104016,0.0245065,0.0210504,0.0438723,-19592.6
-18164.5,0.955463,0.202302,4,15,0,18224.2,-0.0102628,0.957682,0.11607,0.00637101,0.236478,0.0892985,0.347236,0.156664,0.0484161,0.092972,0.245002,0.176056,-0.0656437,0.108554,0.0551162,0.0193442,0.169322,0.115035,0.155262,0.189163,-0.067594,-0.040738,-0.0927762,-0.134269,0.0126286,-0.0384839,-0.0851169,-0.022484,-0.0168689,0.0645457,0.100048,0.0742329,0.0256625,-0.00296053,-0.00640199,0.068559,-0.00621456,-0.059691,-0.0466917,0.0363215,0.0154065,-0.000891643,0.0220994,-0.0291777,-0.0594361,0.00476121,-0.00395157,0.0342404,0.030279,-0.0288402,0.0316045,0.0869539,0.00646416,0.18102,-0.0158643,0.0358168,-0.0321144,-0.0455762,0.033098,0.0479937,-0.131598,-0.0399724,-0.0727524,-0.0853255,-0.0729454,0.0155098,-0.0252368,0.0269512,-0.0193403,0.0149885,0.0158042,0.0172623,-0.0303406,-0.00235554,-0.0341947,-0.0240381,-0.0171921,-0.00414888,-0.00501333,-0.0143906,-0.00729812,-0.0158384,-0.0158201,-0.0336367,-0.053589,-0.0865808,-0.0247974,-0.0591053,-0.0179091,-0.0239776,-0.0231302,-0.0415648,0.00570894,-0.00575375,-0.00606708,0.0312692,0.0569479,0.024034,-0.00874236,0.00498816,-0.0510988,-0.0602828,-0.0165332,-0.0303638,0.00992301,-0.0580277,-0.0672542,-0.0781574,0.0212519,-0.0921541,0.158692,0.0309684,-0.0362778,0.0122372,-0.0227963,0.0301863,-0.0440522,0.0144655,-0.0143005,-0.0404726,-0.00249148,-0.0204482,0.0845309,0.0767422,0.0645962,0.0604307,0.0319725,0.0582063,0.0694433,0.0247387,0.00843245,0.0310964,0.043082,0.055315,-19577.1
-18173.1,0.688685,0.202302,5,31,0,18224.7,-0.00365971,0.961149,0.123295,-0.0405143,0.222738,0.120476,0.325686,0.149045,0.0809625,0.0573847,0.250596,0.194905,-0.0450554,0.0840778,0.032029,0.0408132,0.136557,0.109936,0.192124,0.186683,-0.0174689,-0.0732257,-0.13424,-0.166719,-0.0375719,-0.0282705,-0.0665175,-0.0211139,-0.0480491,0.0664009,0.0859504,0.0823789,0.0267419,-0.0180972,0.0161474,0.0630686,-0.0027393,-0.0221597,-0.0213596,0.086854,0.0757124,0.00105967,-0.0213337,-0.0446536,-0.0368283,0.0292839,0.00775566,0.00124888,0.0214123,-0.0364265,0.0420966,0.0831057,-0.0227475,0.236255,-0.00320473,0.128,-0.0912562,-0.03081,0.0159194,0.0485239,-0.0839527,-0.0743321,-0.11684,-0.135564,-0.169794,-0.0105524,-0.0101446,0.049815,-0.0198436,0.00352281,0.035329,0.01964,-0.01099,-0.00899188,-0.015861,-0.0275967,-0.0125329,0.00677665,0.00208581,-0.00794461,-0.00450431,-0.0082509,-0.00480837,-0.0412536,-0.0852403,-0.0221957,-0.0346857,-0.0670114,-0.0150535,-0.0235128,-0.0392259,-0.0256396,0.000688516,0.0102871,0.013573,0.049151,0.0534771,-0.0173149,0.044642,0.0323281,0.057031,-0.043961,-0.0249103,-0.0887928,-0.0222726,-0.0797819,-0.077798,-0.0796292,-0.00963116,-0.13662,0.127607,0.118206,-0.069622,0.0676091,-0.00746182,0.0579909,-0.052013,-0.0196884,-0.0163171,-0.0514502,0.0308742,-0.0701893,0.160642,0.15687,0.0691906,0.0482793,0.060682,0.0889047,0.106889,0.038964,0.0128672,0.0350122,0.0419852,0.0695421,-19590
-18175.9,0.940177,0.202302,5,31,0,18240.5,-0.0157925,0.956801,0.120182,-0.00470073,0.248009,0.0916743,0.347248,0.143455,0.0480585,0.092975,0.232922,0.167477,-0.0462083,0.107303,0.0487924,0.0106321,0.161377,0.106578,0.134815,0.187502,-0.0678252,-0.0302206,-0.0902553,-0.157842,0.0320314,-0.0139325,-0.0888192,0.00195583,-0.00052412,0.0590417,0.100544,0.067139,0.0349549,0.00607103,-0.0077288,0.0738959,-0.022437,-0.0602039,-0.044534,0.087937,0.00690791,-0.136186,0.0134327,-0.0305803,-0.0514389,0.00906272,0.00424993,0.029609,0.0176156,-0.00284711,0.0472001,0.100322,0.028759,0.202186,-0.029082,0.0483691,-0.0575106,-0.0509619,0.0317743,0.0717182,-0.117037,-0.0775549,-0.0902557,-0.128302,-0.136283,0.0145565,-0.011752,0.0413833,-0.0272085,0.0123825,0.00982246,-0.002821,-0.04603,-0.0129461,-0.0377393,-0.019685,0.000675316,-0.0165651,-0.00749808,-0.0197785,-0.0127101,-0.00739324,-0.011342,-0.0374843,-0.0350319,-0.0705268,-0.0331199,-0.0694187,-0.0392152,-0.0357065,-0.0418316,-0.0174141,0.008741,-0.00282102,-0.0014186,0.0319094,0.0558566,0.0353834,0.0032174,0.025874,-0.0474811,-0.0556448,-0.0244455,-0.0396432,0.00616329,-0.0514132,-0.0765704,-0.0791569,-0.0135552,-0.138462,0.0525795,0.0834852,-0.0233562,0.00131106,0.00254884,0.0670099,-0.0833384,0.0184571,-0.0222454,-0.0418769,0.00308398,-0.0465352,0.14585,0.0549156,0.059429,0.0818333,0.0708474,0.0861425,0.0804498,0.025935,0.0109576,0.0201694,0.0243719,0.0629747,-19577
-18190,0.988309,0.202302,4,15,0,18250.5,-0.00267746,0.965873,0.121274,-0.0414356,0.223272,0.117529,0.340973,0.145272,0.0566271,0.069863,0.256981,0.191087,-0.0238647,0.0731267,0.0395264,0.0551858,0.15034,0.107953,0.145302,0.182433,-0.0157624,-0.0889221,-0.14368,-0.157135,-0.0383585,-0.042269,-0.0580018,-0.0372352,-0.0289531,0.0701388,0.0736449,0.111022,0.0261086,-0.0164074,0.0180973,0.0674289,0.0344815,-0.0590894,-0.0407665,0.0635999,0.0498951,0.0226004,0.00967527,-0.0280332,-0.0520918,0.143672,0.0180981,0.00382622,0.0201333,-0.0216973,0.0461694,0.0804816,0.00366556,0.222199,0.00659081,0.140822,-0.0839737,-0.0311485,0.0523664,0.0132867,-0.112503,-0.0784787,-0.0984483,-0.0777098,-0.167775,0.00468401,-0.0318214,0.107808,-0.0160432,0.0132697,0.0484352,0.0147128,-0.0230897,0.012298,-0.0184718,-0.0390426,-0.0215784,0.00468548,0.00571879,-0.000827273,-0.0027466,0.00577496,-0.00532724,-0.0430975,-0.0855636,-0.0299089,-0.0263589,-0.0532896,-0.0037715,-0.0292785,-0.0254841,-0.031226,0.00296818,0.00724633,0.0303534,0.0483775,0.0516726,-0.0317403,0.0224985,0.037916,0.0700276,-0.0578371,-0.0422287,-0.0763677,-0.050936,-0.113231,-0.0729437,-0.0731439,0.0118596,-0.136608,0.174785,0.132538,-0.0877009,0.060476,0.0115259,0.0397555,-0.057678,0.0240459,-0.000980468,-0.0290198,0.0321427,-0.0613846,0.128898,0.114342,0.0613688,0.0489677,0.0661511,0.0749976,0.0713212,0.0542477,0.0182804,0.0314639,0.0359983,0.0393694,-19590.4
